id,Date,Count,Hour,Hotness,Humidity,Wind Speed,Visibility,Solar Radiation,Rainfall,Snowfall,Seasons,Holiday,Working Day
48,29/07/2018,636,1:00,301,71,2.16,1799,0,0,0,Summer,NO,YES
49,27/02/2018,72,5:00,273.6,50,0.36,1026,0,0,0,Winter,NO,YES
50,17/09/2018,868,10:00,294.7,60,6.12,1540,1.44,0,0,Autumn,NO,YES
51,07/06/2018,2161,21:00,294.5,69,9.36,942,0,0,0,Summer,NO,YES
52,19/03/2018,382,23:00,279.9,44,11.88,2000,0,0,0,Spring,NO,YES
53,04/03/2018,70,8:00,281.3,97,2.16,152,0.01,0,0,Spring,NO,YES
54,21/04/2018,1581,20:00,292.1,18,4.32,2000,0,0,0,Spring,NO,YES
55,07/08/2018,201,4:00,300.3,68,2.52,2000,0,0,0,Summer,NO,YES
56,22/02/2018,352,12:00,277.8,47,9.36,1373,1.72,0,0,Winter,NO,YES
57,14/01/2018,272,13:00,276,52,5.04,568,0.9,0,0,Winter,NO,YES
58,27/05/2018,1729,21:00,292.5,46,6.48,1734,0,0,0,Spring,NO,YES
59,28/10/2018,624,20:00,281.2,82,10.08,2000,0,0,0,Autumn,NO,YES
60,10/12/2017,169,3:00,273.3,53,1.8,1748,0,0,0,Winter,NO,YES
61,18/05/2018,1386,20:00,289.2,76,7.56,2000,0.02,0,0,Spring,NO,YES
62,09/05/2018,1602,22:00,288.9,60,9.36,2000,0,0,0,Spring,NO,YES
63,21/08/2018,898,0:00,301.3,59,13.32,1945,0,0,0,Summer,NO,YES
64,14/09/2018,2826,18:00,298.7,57,5.4,2000,0.24,0,0,Autumn,NO,YES
65,15/10/2018,272,2:00,284.8,82,2.52,1262,0,0,0,Autumn,NO,YES
66,04/09/2018,2212,21:00,295.9,55,10.8,2000,0,0,0,Autumn,NO,YES
67,23/05/2018,1563,16:00,296,33,15.12,1880,2.57,0,0,Spring,NO,YES
68,10/11/2018,1263,16:00,289,37,6.84,984,0.94,0,0,Autumn,NO,YES
69,05/11/2018,1289,21:00,285.2,79,6.48,351,0,0,0,Autumn,NO,YES
70,09/05/2018,1186,14:00,293.7,36,7.92,1788,3.1,0,0,Spring,NO,YES
71,03/03/2018,516,22:00,283.2,49,6.12,1972,0,0,0,Spring,NO,YES
72,03/08/2018,585,13:00,309.8,44,6.48,1625,1.79,0,0,Summer,NO,YES
73,07/10/2018,2167,15:00,293.4,36,10.08,2000,1.56,0,0,Autumn,NO,YES
74,26/06/2018,45,5:00,296.7,64,3.24,876,0,0.1,0,Summer,NO,YES
75,08/04/2018,191,2:00,275.2,49,6.84,2000,0,0,0,Spring,NO,YES
76,25/12/2017,133,10:00,269.3,35,13.32,1937,0.57,0,0,Winter,YES,YES
77,21/05/2018,262,2:00,286.9,0,3.24,2000,0,0,0,Spring,NO,YES
78,27/02/2018,335,13:00,278.8,39,2.16,931,0.35,0,0,Winter,NO,YES
79,28/11/2018,1099,17:00,280.6,23,10.44,1678,0.25,0,0,Autumn,NO,YES
80,06/01/2018,186,8:00,266.5,62,3.96,1503,0,0,0,Winter,NO,YES
81,16/10/2018,2134,8:00,283.4,63,2.16,1367,0.19,0,0,Autumn,NO,YES
82,21/11/2018,936,20:00,278.1,43,2.52,1928,0,0,0,Autumn,NO,YES
83,29/01/2018,27,3:00,263.2,43,10.08,1963,0,0,0,Winter,NO,YES
84,11/08/2018,647,8:00,301,60,3.6,2000,0.91,0,0,Summer,NO,YES
85,18/07/2018,2692,18:00,305,50,9.36,1374,1.25,0,0,Summer,NO,YES
86,05/08/2018,1411,19:00,303.9,68,11.88,1821,0.52,0,0,Summer,NO,YES
87,04/05/2018,1323,15:00,292.9,26,13.68,1898,3,0,0,Spring,NO,YES
88,27/03/2018,636,15:00,292.9,45,9.72,676,1.79,0,0,Spring,NO,YES
89,28/11/2018,798,9:00,276,30,4.68,1242,0.3,0,0,Autumn,NO,YES
90,12/03/2018,406,10:00,279.6,40,3.6,1061,0.65,0,0,Spring,NO,YES
91,16/07/2018,691,14:00,306.7,45,9,1843,3.23,0,0,Summer,NO,YES
92,20/01/2018,228,0:00,272.4,60,2.16,1433,0,0,0,Winter,NO,YES
93,18/05/2018,77,6:00,290.4,98,1.08,234,0,0,0,Spring,NO,YES
94,26/02/2018,929,18:00,280.2,26,8.28,1398,0.33,0,0,Winter,NO,YES
95,24/01/2018,125,20:00,258.7,37,4.68,2000,0,0,0.7,Winter,NO,YES
96,19/05/2018,320,3:00,283.7,73,4.68,2000,0,0,0,Spring,NO,YES
97,21/04/2018,436,2:00,287.7,63,6.48,611,0,0,0,Spring,NO,YES
98,21/01/2018,36,6:00,269.9,54,5.04,1037,0,0,0,Winter,NO,YES
99,18/10/2018,385,2:00,281.7,71,2.88,2000,0,0,0,Autumn,NO,YES
100,01/06/2018,1076,12:00,301.2,34,9.36,1867,3.26,0,0,Summer,NO,YES
101,03/10/2018,2200,15:00,297.1,34,7.2,1996,2.14,0,0,Autumn,YES,YES
102,15/05/2018,1210,15:00,302.1,38,6.12,1602,1.89,0,0,Spring,NO,YES
103,27/09/2018,907,10:00,292.9,47,6.48,1989,1.93,0,0,Autumn,NO,YES
104,02/02/2018,310,15:00,276.6,26,8.64,1687,0.99,0,0,Winter,NO,YES
105,27/04/2018,361,2:00,284.2,58,5.04,1255,0,0,0,Spring,NO,YES
106,05/01/2018,354,9:00,268.3,49,4.32,1550,0.12,0,0,Winter,NO,YES
107,30/06/2018,1291,17:00,300.4,75,8.28,616,0.46,0,0,Summer,NO,YES
108,04/05/2018,1266,14:00,291.8,31,17.64,1940,3.31,0,0,Spring,NO,YES
109,25/12/2017,237,18:00,271.4,33,7.2,2000,0,0,0,Winter,YES,YES
110,24/08/2018,62,3:00,297.8,87,7.92,1286,0,1,0,Summer,NO,YES
111,05/10/2018,8,15:00,290.2,96,2.16,213,0.26,4,0,Autumn,NO,YES
112,09/11/2018,0,22:00,284.2,75,6.12,478,0,0,0,Autumn,NO,NO
113,04/02/2018,70,8:00,260.2,56,8.64,1507,0.02,0,0,Winter,NO,YES
114,26/01/2018,41,3:00,257.1,34,10.44,2000,0,0,0.5,Winter,NO,YES
115,19/03/2018,387,9:00,281.2,81,9.72,1273,0.2,0.5,0,Spring,NO,YES
116,14/09/2018,2059,17:00,298.9,56,6.12,2000,0.42,0,0,Autumn,NO,YES
117,06/10/2018,0,2:00,289.9,88,9,2000,0,1.5,0,Autumn,NO,NO
118,21/09/2018,1540,21:00,292.9,82,2.16,2000,0,0,0,Autumn,NO,YES
119,15/05/2018,1080,13:00,300.8,34,5.4,1306,3.14,0,0,Spring,NO,YES
120,22/03/2018,621,22:00,276.9,66,9.72,990,0,0,0,Spring,NO,YES
121,17/07/2018,1591,17:00,304.8,52,8.64,1438,1.93,0,0,Summer,NO,YES
122,27/12/2017,315,19:00,267.5,31,7.56,2000,0,0,0,Winter,NO,YES
123,02/06/2018,2238,21:00,295.1,44,9,2000,0,0,0,Summer,NO,YES
124,01/09/2018,1845,17:00,302.6,42,4.68,2000,0.98,0,0,Autumn,NO,YES
125,11/11/2018,111,5:00,279.8,83,2.16,341,0,0,0,Autumn,NO,YES
126,13/01/2018,152,0:00,266.4,39,5.76,1930,0,0,0,Winter,NO,YES
127,25/10/2018,729,0:00,283.5,75,1.08,1800,0,0,0,Autumn,NO,YES
128,31/07/2018,665,15:00,310.8,34,6.48,1965,2.81,0,0,Summer,NO,YES
129,26/03/2018,798,21:00,284.6,54,5.4,693,0,0,0,Spring,NO,YES
130,20/08/2018,255,3:00,299.1,65,2.16,2000,0,0,0,Summer,NO,YES
131,08/07/2018,253,5:00,291.1,57,5.04,2000,0,0,0,Summer,NO,YES
132,13/08/2018,1086,23:00,302.6,63,0.36,2000,0,0,0,Summer,NO,YES
133,31/05/2018,188,4:00,287.8,85,2.52,478,0,0,0,Spring,NO,YES
134,04/04/2018,172,6:00,284.7,95,2.52,2000,0,2,0,Spring,NO,YES
135,12/10/2018,1996,8:00,279,64,3.96,1920,0.42,0,0,Autumn,NO,YES
136,19/10/2018,1018,23:00,284.7,70,6.12,2000,0,0,0,Autumn,NO,YES
137,07/07/2018,1129,11:00,298,48,5.4,1986,2.95,0,0,Summer,NO,YES
138,20/03/2018,1111,18:00,277.1,43,12.6,2000,0.21,0,0,Spring,NO,YES
139,07/12/2017,137,6:00,274,93,1.8,148,0,0,0.9,Winter,NO,YES
140,09/05/2018,1979,20:00,290.3,53,6.84,2000,0.01,0,0,Spring,NO,YES
141,08/04/2018,22,18:00,276,89,5.4,283,0.07,1.9,0,Spring,NO,YES
142,31/05/2018,1401,7:00,287.9,71,3.24,651,0.47,0,0,Spring,NO,YES
143,19/06/2018,1363,15:00,299.7,42,9.36,1634,1.89,0,0,Summer,NO,YES
144,18/12/2017,151,0:00,267.1,50,2.16,2000,0,0,0,Winter,NO,YES
145,03/10/2018,173,5:00,284.8,82,3.96,1878,0,0,0,Autumn,YES,YES
146,22/11/2018,1101,17:00,277.9,41,11.88,1985,0.25,0,0,Autumn,NO,YES
147,30/09/2018,0,0:00,291.1,60,0.72,2000,0,0,0,Autumn,NO,NO
148,25/05/2018,2227,19:00,295,40,5.76,1658,0.47,0,0,Spring,NO,YES
149,14/07/2018,1177,16:00,304.7,55,8.28,1895,2.16,0,0,Summer,NO,YES
150,02/02/2018,47,4:00,266.3,65,3.96,1705,0,0,0,Winter,NO,YES
151,05/05/2018,352,7:00,285.9,55,8.28,1952,0.29,0,0,Spring,NO,YES
152,22/04/2018,384,14:00,293.7,32,5.4,1996,0.69,0,0,Spring,NO,YES
153,14/03/2018,643,11:00,290.5,55,7.56,1892,1.35,0,0,Spring,NO,YES
154,16/06/2018,1056,1:00,291.4,59,4.68,2000,0,0,0,Summer,NO,YES
155,30/12/2017,240,0:00,272.6,83,4.32,247,0,0,0,Winter,NO,YES
156,01/03/2018,33,6:00,276,96,9.72,303,0,0.4,0,Spring,YES,YES
157,25/05/2018,286,3:00,288.4,71,1.8,780,0,0,0,Spring,NO,YES
158,01/08/2018,561,16:00,312.4,39,9,1897,2.42,0,0,Summer,NO,YES
159,16/02/2018,116,22:00,272.4,70,12.24,1204,0,0,0,Winter,YES,YES
160,22/08/2018,727,13:00,308.3,41,7.56,1925,3.1,0,0,Summer,NO,YES
161,18/01/2018,232,23:00,273.6,47,8.28,1046,0,0,0,Winter,NO,YES
162,16/04/2018,132,5:00,278.3,73,2.88,1474,0,0,0,Spring,NO,YES
163,22/04/2018,826,0:00,288.9,35,1.08,1995,0,0,0,Spring,NO,YES
164,27/11/2018,671,13:00,284,60,3.24,411,0.85,0,0,Autumn,NO,YES
165,07/04/2018,282,0:00,276,67,11.88,945,0,0,0,Spring,NO,YES
166,25/10/2018,779,10:00,286.4,53,3.96,1768,1.53,0,0,Autumn,NO,YES
167,30/11/2018,554,10:00,274.9,51,2.88,1029,1.01,0,0,Autumn,NO,YES
168,28/10/2018,55,6:00,279.9,86,6.12,1988,0,1.5,0,Autumn,NO,YES
169,15/10/2018,393,1:00,285.2,80,5.04,1283,0,0,0,Autumn,NO,YES
170,01/06/2018,1440,23:00,294.8,49,5.76,1965,0,0,0,Summer,NO,YES
171,05/04/2018,220,2:00,282,63,7.56,2000,0,0,0,Spring,NO,YES
172,20/06/2018,2440,8:00,293.6,77,4.32,566,0.53,0,0,Summer,NO,YES
173,01/03/2018,358,13:00,274.4,37,14.4,1681,2.95,0,0,Spring,YES,YES
174,09/10/2018,0,5:00,283.8,64,2.88,2000,0,0,0,Autumn,YES,NO
175,19/07/2018,2245,19:00,304.6,58,8.28,1556,0.56,0,0,Summer,NO,YES
176,28/04/2018,777,0:00,286.3,70,5.76,473,0,0,0,Spring,NO,YES
177,08/05/2018,1128,9:00,291.5,51,5.04,1955,1.74,0,0,Spring,NO,YES
178,04/08/2018,598,9:00,304.3,58,6.84,1598,1.24,0,0,Summer,NO,YES
179,12/06/2018,1246,14:00,298.6,45,7.92,1961,1.39,0,0,Summer,NO,YES
180,30/04/2018,1711,21:00,292.1,73,4.32,413,0,0,0,Spring,NO,YES
181,10/10/2018,2514,18:00,285.2,45,11.16,2000,0.16,0,0,Autumn,NO,YES
182,27/09/2018,2189,17:00,297.3,31,5.4,2000,1.17,0,0,Autumn,NO,YES
183,05/12/2017,269,10:00,267.5,26,10.08,1967,0.64,0,0,Winter,NO,YES
184,01/02/2018,233,13:00,273.3,28,11.16,1988,1.3,0,1,Winter,NO,YES
185,08/12/2017,401,16:00,271.9,24,12.24,2000,0.56,0,0,Winter,NO,YES
186,13/10/2018,1695,18:00,289.5,38,5.76,1246,0.14,0,0,Autumn,NO,YES
187,29/01/2018,49,2:00,262.8,47,3.24,1808,0,0,0,Winter,NO,YES
188,12/06/2018,2495,8:00,292,67,3.96,1976,1.29,0,0,Summer,NO,YES
189,30/12/2017,183,17:00,276.8,64,3.24,250,0.01,0,0,Winter,NO,YES
190,06/02/2018,251,19:00,264.6,37,14.4,2000,0,0,0,Winter,NO,YES
191,03/06/2018,437,3:00,291,64,4.68,1560,0,0,0,Summer,NO,YES
192,24/10/2018,162,4:00,282,87,2.16,972,0,0,0,Autumn,NO,YES
193,20/07/2018,2084,19:00,305.9,44,7.2,1985,0.59,0,0,Summer,NO,YES
194,22/09/2018,953,0:00,292.5,81,3.96,2000,0,0,0,Autumn,NO,YES
195,03/06/2018,193,5:00,290.1,66,1.08,1370,0,0,0,Summer,NO,YES
196,16/08/2018,263,5:00,301,66,1.8,2000,0,0,0,Summer,NO,YES
197,01/08/2018,1046,23:00,305.3,67,3.6,1592,0,0,0,Summer,NO,YES
198,14/08/2018,636,11:00,305.4,54,6.84,1962,0.96,0,0,Summer,NO,YES
199,17/08/2018,276,4:00,295.1,54,5.76,2000,0,0,0,Summer,NO,YES
200,30/03/2018,747,7:00,283.5,70,3.96,483,0.04,0,0,Spring,NO,YES
201,20/06/2018,1600,16:00,301.2,48,14.04,1103,2.55,0,0,Summer,NO,YES
202,15/08/2018,429,7:00,301.6,71,2.16,1797,0.17,0,0,Summer,YES,YES
203,10/11/2018,754,0:00,284.3,77,3.24,433,0,0,0,Autumn,NO,YES
204,28/12/2017,311,14:00,273.8,55,6.48,1132,0.59,0,0,Winter,NO,YES
205,15/08/2018,1500,20:00,301.4,69,5.4,2000,0.01,0,0,Summer,YES,YES
206,31/08/2018,987,14:00,302.3,41,6.84,1928,3,0,0,Summer,NO,YES
207,05/06/2018,742,1:00,293,67,2.52,1426,0,0,0,Summer,NO,YES
208,17/07/2018,372,3:00,297.8,80,3.6,1988,0,0,0,Summer,NO,YES
209,11/05/2018,1999,19:00,290.1,51,9,1223,0.06,0,0,Spring,NO,YES
210,16/03/2018,455,23:00,277.2,47,4.68,2000,0,0,0,Spring,NO,YES
211,16/07/2018,1934,22:00,300.2,69,6.12,2000,0,0,0,Summer,NO,YES
212,15/08/2018,1008,23:00,301.5,69,3.96,2000,0,0,0,Summer,YES,YES
213,09/04/2018,921,14:00,286.9,26,9,1537,2.99,0,0,Spring,NO,YES
214,11/11/2018,228,7:00,279.4,84,4.68,369,0,0,0,Autumn,NO,YES
215,07/01/2018,179,10:00,271.2,40,6.48,1555,0.48,0,0,Winter,NO,YES
216,26/01/2018,322,8:00,255.2,40,9,2000,0,0,0.5,Winter,NO,YES
217,08/01/2018,146,21:00,273.7,77,24.12,692,0,0.9,1,Winter,NO,YES
218,11/10/2018,1284,16:00,286.8,36,10.44,2000,0.98,0,0,Autumn,NO,YES
219,13/09/2018,968,0:00,294.9,62,3.6,1822,0,0,0,Autumn,NO,YES
220,04/04/2018,1413,16:00,290.9,42,3.96,2000,2.25,0,0,Spring,NO,YES
221,05/11/2018,161,3:00,281.3,81,3.96,642,0,0,0,Autumn,NO,YES
222,29/12/2017,317,11:00,276.1,62,3.96,517,0.29,0,0,Winter,NO,YES
223,13/04/2018,741,10:00,288.7,18,5.76,1980,1.66,0,0,Spring,NO,YES
224,19/06/2018,1230,13:00,299.6,46,10.44,1482,2.31,0,0,Summer,NO,YES
225,08/06/2018,255,4:00,291.5,82,7.2,1072,0,0,0,Summer,NO,YES
226,02/09/2018,1336,0:00,296.5,56,5.4,2000,0,0,0,Autumn,NO,YES
227,04/05/2018,935,23:00,285.4,58,9,1843,0,0,0,Spring,NO,YES
228,25/01/2018,105,10:00,257.7,33,8.64,2000,0.56,0,0.6,Winter,NO,YES
229,09/01/2018,80,23:00,268.1,80,2.52,690,0,0,0.2,Winter,NO,YES
230,10/06/2018,2367,18:00,297.1,53,4.68,2000,0.48,0,0,Summer,NO,YES
231,01/11/2018,696,10:00,281.1,51,2.52,1100,1.38,0,0,Autumn,NO,YES
232,18/04/2018,515,0:00,282.6,44,7.92,1417,0,0,0,Spring,NO,YES
233,10/08/2018,903,0:00,300.1,84,0.72,1161,0,0,0,Summer,NO,YES
234,04/11/2018,141,6:00,279.2,73,1.08,1018,0,0,0,Autumn,NO,YES
235,02/06/2018,560,7:00,291.1,59,2.16,789,0.47,0,0,Summer,NO,YES
236,27/01/2018,125,11:00,263.4,33,3.96,1748,0.9,0,0.3,Winter,NO,YES
237,04/04/2018,22,3:00,287.3,97,4.32,228,0,7,0,Spring,NO,YES
238,27/09/2018,1364,7:00,286.2,60,1.8,2000,0.02,0,0,Autumn,NO,YES
239,09/01/2018,100,0:00,271.8,67,16.56,983,0,0,1,Winter,NO,YES
240,22/08/2018,655,6:00,296.7,78,1.08,2000,0,0,0,Summer,NO,YES
241,08/07/2018,2055,21:00,298.3,55,5.04,2000,0,0,0,Summer,NO,YES
242,02/05/2018,327,13:00,290.2,96,3.24,275,0.26,4,0,Spring,NO,YES
243,02/07/2018,72,21:00,296.4,98,1.44,1038,0,1,0,Summer,NO,YES
244,23/07/2018,174,4:00,302.3,51,3.24,1498,0,0,0,Summer,NO,YES
245,04/12/2017,393,12:00,272.7,38,17.28,1823,1.11,0,0,Winter,NO,YES
246,01/01/2018,89,8:00,268,55,3.6,2000,0,0,0,Winter,YES,YES
247,10/01/2018,168,11:00,266.6,49,16.2,1759,0.86,0,0.5,Winter,NO,YES
248,25/06/2018,338,5:00,294.5,84,1.08,569,0,0,0,Summer,NO,YES
249,25/03/2018,90,4:00,278.3,82,3.6,200,0,0,0,Spring,NO,YES
250,23/12/2017,99,7:00,278.1,82,2.52,334,0,0,0,Winter,NO,YES
251,22/10/2018,941,11:00,289.7,37,2.52,1074,1.74,0,0,Autumn,NO,YES
252,10/05/2018,0,20:00,286.6,82,7.56,520,0.02,0,0,Spring,NO,NO
253,15/06/2018,717,1:00,293.6,65,4.32,2000,0,0,0,Summer,NO,YES
254,15/02/2018,276,15:00,276.8,17,11.52,2000,1.97,0,0,Winter,YES,YES
255,25/12/2017,107,9:00,268.4,40,12.6,2000,0.18,0,0,Winter,YES,YES
256,16/07/2018,2362,20:00,302.3,58,8.64,2000,0.09,0,0,Summer,NO,YES
257,27/11/2018,299,2:00,276.9,85,2.88,299,0,0,0,Autumn,NO,YES
258,28/07/2018,875,1:00,302.1,79,4.68,975,0,0,0,Summer,NO,YES
259,06/10/2018,941,14:00,292.3,79,12.96,2000,1.36,0,0,Autumn,NO,YES
260,06/09/2018,215,4:00,294.6,87,1.44,951,0,0,0,Autumn,NO,YES
261,16/05/2018,145,2:00,296.9,69,1.08,531,0,0.2,0,Spring,NO,YES
262,04/03/2018,8,22:00,282.6,92,9,721,0,0,0,Spring,NO,YES
263,22/05/2018,694,8:00,291.2,63,2.88,1731,1,0,0,Spring,YES,YES
264,03/06/2018,1399,14:00,302.8,26,7.92,1818,3.2,0,0,Summer,NO,YES
265,22/05/2018,443,7:00,289.3,69,2.52,1750,0.34,0,0,Spring,YES,YES
266,03/07/2018,1365,23:00,299.4,78,1.08,2000,0,0,0,Summer,NO,YES
267,19/04/2018,919,12:00,290.8,21,9.72,1335,2.79,0,0,Spring,NO,YES
268,27/03/2018,764,22:00,285.9,75,4.68,326,0,0,0,Spring,NO,YES
269,26/08/2018,188,5:00,293.7,88,2.16,1100,0,0,0,Summer,NO,YES
270,27/06/2018,1618,16:00,298,74,7.92,578,0.52,0,0,Summer,NO,YES
271,25/12/2017,319,15:00,273.4,28,9,2000,0.9,0,0,Winter,YES,YES
272,28/04/2018,2043,17:00,293.1,29,11.88,1840,1.78,0,0,Spring,NO,YES
273,08/02/2018,136,0:00,264.8,50,3.96,1850,0,0,0,Winter,NO,YES
274,27/09/2018,770,0:00,289.7,50,6.12,2000,0,0,0,Autumn,NO,YES
275,21/10/2018,1158,21:00,286,49,3.6,1702,0,0,0,Autumn,NO,YES
276,18/09/2018,0,13:00,298.6,40,9,1704,2.18,0,0,Autumn,NO,NO
277,30/12/2017,208,10:00,273.8,73,1.8,248,0.15,0,0,Winter,NO,YES
278,09/04/2018,1479,17:00,288.3,26,3.24,1257,1.39,0,0,Spring,NO,YES
279,26/09/2018,1249,22:00,291.1,43,6.12,2000,0,0,0,Autumn,NO,YES
280,15/03/2018,39,8:00,287.1,97,3.96,342,0,0,0,Spring,NO,YES
281,12/03/2018,752,16:00,287.5,34,11.16,471,1.59,0,0,Spring,NO,YES
282,16/11/2018,1346,17:00,284,70,10.44,617,0.12,0,0,Autumn,NO,YES
283,12/04/2018,829,11:00,289.2,30,8.64,1700,2.68,0,0,Spring,NO,YES
284,17/02/2018,103,10:00,268.7,21,5.04,1908,1.34,0,0,Winter,YES,YES
285,23/09/2018,1287,20:00,293.2,48,11.88,2000,0,0,0,Autumn,YES,YES
286,06/01/2018,207,19:00,271.8,37,4.32,1663,0,0,0,Winter,NO,YES
287,10/12/2017,280,1:00,272.8,54,1.8,1747,0,0,0,Winter,NO,YES
288,09/07/2018,140,18:00,293.3,93,4.68,1832,0.22,0.5,0,Summer,NO,YES
289,25/09/2018,1309,13:00,295.9,30,7.2,2000,2.9,0,0,Autumn,YES,YES
290,12/08/2018,520,8:00,301.6,54,3.96,2000,0.82,0,0,Summer,NO,YES
291,07/06/2018,1939,22:00,293.9,71,3.6,763,0,0,0,Summer,NO,YES
292,30/11/2018,213,3:00,272.9,69,3.24,1338,0,0,0,Autumn,NO,YES
293,09/04/2018,1362,20:00,284.7,34,3.24,1393,0,0,0,Spring,NO,YES
294,28/05/2018,986,11:00,298.1,45,3.24,1982,2.9,0,0,Spring,NO,YES
295,24/12/2017,128,23:00,273,63,11.52,884,0,0,0,Winter,YES,YES
296,06/11/2018,0,1:00,282.8,75,1.8,668,0,0,0,Autumn,NO,NO
297,12/07/2018,159,4:00,299.1,85,2.16,1081,0,0,0,Summer,NO,YES
298,27/04/2018,562,1:00,284.5,57,6.48,1471,0,0,0,Spring,NO,YES
299,28/03/2018,943,16:00,291.3,43,15.48,1931,1.3,0,0,Spring,NO,YES
300,13/05/2018,1434,12:00,291.3,65,4.32,1489,2.4,0,0,Spring,NO,YES
301,27/07/2018,639,10:00,304.2,61,8.28,901,1.71,0,0,Summer,NO,YES
302,05/01/2018,170,1:00,267.9,51,5.4,1550,0,0,0,Winter,NO,YES
303,28/01/2018,206,13:00,270.6,22,9,1866,1.16,0,0,Winter,NO,YES
304,02/09/2018,1254,13:00,301.5,42,6.12,1990,2.94,0,0,Autumn,NO,YES
305,27/04/2018,789,10:00,288.3,50,3.6,944,1.97,0,0,Spring,NO,YES
306,11/04/2018,0,5:00,282.7,84,6.12,447,0,0,0,Spring,NO,NO
307,18/03/2018,751,12:00,282.8,46,4.32,710,1.13,0,0,Spring,NO,YES
